Wortpaar,zugeteilte Distanz,Distanz Klasse,Verglichen mit gegebener Distanz,Spieler ID,Art des Levels,Version der gegebenen Distanz,Anzahl Bewertungen,Ursprung
Kaffee-Tee,1,1,gleich,231,standard,7,8,studie
Kaffee-Tee,1,1,anders,256,standard,6,8,studie
Kaffee-Tee,2,1,gleich,801,bonus,5,8,studie
Kaffee-Tee,1,1,anders,738,standard,4,8,studie
Kaffee-Tee,2,1,gleich,710,standard,3,8,studie
Kaffee-Tee,2,1,gleich,663,standard,2,8,studie
Kaffee-Tee,1,1,anders,621,standard,1,8,studie
Kaffee-Tee,4,2,initial,543,standard,0,8,studie
Kaffee-Tisch,2,1,gleich,710,bonus,4,5,studie
Kaffee-Tisch,1,1,anders,621,standard,3,5,studie
Kaffee-Tisch,4,2,anders,543,standard,2,5,studie
Kaffee-Tisch,4,2,anders,202,standard,1,5,studie
Kaffee-Tisch,1,1,initial,402,standard,0,5,studie
Kaffee-Toilettenpapier,2,1,anders,662,standard,2,3,studie
Kaffee-Toilettenpapier,5,3,anders,728,standard,1,3,studie
Kaffee-Toilettenpapier,3,2,initial,151,standard,0,3,studie
Topfdeckel-Kaffee,4,2,anders,231,standard,5,6,studie
Topfdeckel-Kaffee,1,1,anders,256,standard,4,6,studie
Topfdeckel-Kaffee,3,2,anders,738,bonus,3,6,studie
Topfdeckel-Kaffee,2,1,gleich,151,standard,2,6,studie
Topfdeckel-Kaffee,2,1,gleich,682,bonus,1,6,studie
Topfdeckel-Kaffee,2,1,initial,825,standard,0,6,studie
Kaffee-Waescheklammer,3,2,gleich,738,bonus,1,2,studie
Kaffee-Waescheklammer,3,2,initial,682,standard,0,2,studie
Kaffeemaschine-Bleistift,4,2,gleich,256,standard,2,3,studie
Kaffeemaschine-Bleistift,3,2,anders,865,bonus,1,3,studie
Kaffeemaschine-Bleistift,4,2,initial,261,standard,0,3,studie
Kaffeemaschine-Buegeleisen,2,1,gleich,1008,bonus,3,4,studie
Kaffeemaschine-Buegeleisen,1,1,anders,820,standard,2,4,studie
Kaffeemaschine-Buegeleisen,2,1,anders,353,standard,1,4,studie
Kaffeemaschine-Buegeleisen,3,2,initial,1028,standard,0,4,studie
Glas-Kaffeemaschine,5,3,anders,416,standard,4,5,studie
Glas-Kaffeemaschine,1,1,anders,704,standard,3,5,studie
Glas-Kaffeemaschine,2,1,anders,256,standard,2,5,studie
Glas-Kaffeemaschine,4,2,gleich,820,standard,1,5,studie
Glas-Kaffeemaschine,4,2,initial,216,standard,0,5,studie
Kaffeemaschine-Kabel,1,1,anders,146,standard,6,7,studie
Kaffeemaschine-Kabel,2,1,gleich,1088,standard,5,7,studie
Kaffeemaschine-Kabel,4,2,anders,256,standard,4,7,studie
Kaffeemaschine-Kabel,2,1,gleich,845,standard,3,7,studie
Kaffeemaschine-Kabel,2,1,gleich,682,standard,2,7,studie
Kaffeemaschine-Kabel,2,1,anders,1028,standard,1,7,studie
Kaffeemaschine-Kabel,1,1,0,0,0,0,7,vorstudie
Kaffee-Kaffeemaschine,3,2,gleich,328,standard,18,19,studie
Kaffee-Kaffeemaschine,5,3,anders,502,standard,17,19,studie
Kaffee-Kaffeemaschine,1,1,anders,231,standard,16,19,studie
Kaffee-Kaffeemaschine,2,1,gleich,256,standard,15,19,studie
Kaffee-Kaffeemaschine,2,1,gleich,845,standard,14,19,studie
Kaffee-Kaffeemaschine,1,1,anders,600,standard,13,19,studie
Kaffee-Kaffeemaschine,1,1,anders,290,standard,12,19,studie
Kaffee-Kaffeemaschine,3,2,gleich,661,standard,11,19,studie
Kaffee-Kaffeemaschine,3,2,gleich,738,standard,10,19,studie
Kaffee-Kaffeemaschine,6,3,anders,710,standard,9,19,studie
Kaffee-Kaffeemaschine,4,2,anders,881,standard,8,19,studie
Kaffee-Kaffeemaschine,4,2,anders,825,standard,7,19,studie
Kaffee-Kaffeemaschine,2,1,gleich,216,standard,6,19,studie
Kaffee-Kaffeemaschine,4,2,anders,728,standard,5,19,studie
Kaffee-Kaffeemaschine,1,1,anders,153,bonus,4,19,studie
Kaffee-Kaffeemaschine,2,1,gleich,151,standard,3,19,studie
Kaffee-Kaffeemaschine,2,1,anders,402,standard,2,19,studie
Kaffee-Kaffeemaschine,5,3,anders,154,standard,1,19,studie
Kaffee-Kaffeemaschine,1,1,0,0,0,0,19,vorstudie
Kaffeemaschine-Kerze,5,3,anders,749,standard,4,5,studie
Kaffeemaschine-Kerze,4,2,anders,1008,bonus,3,5,studie
Kaffeemaschine-Kerze,1,1,anders,290,standard,2,5,studie
Kaffeemaschine-Kerze,3,2,anders,881,standard,1,5,studie
Kaffeemaschine-Kerze,4,2,initial,191,standard,0,5,studie
Korken-Kaffeemaschine,2,1,anders,256,standard,1,2,studie
Korken-Kaffeemaschine,1,1,initial,306,standard,0,2,studie
Kugelschreiber-Kaffeemaschine,6,3,anders,932,standard,5,6,studie
Kugelschreiber-Kaffeemaschine,2,1,anders,290,standard,4,6,studie
Kugelschreiber-Kaffeemaschine,2,1,anders,629,standard,3,6,studie
Kugelschreiber-Kaffeemaschine,3,2,gleich,391,standard,2,6,studie
Kugelschreiber-Kaffeemaschine,4,2,anders,153,bonus,1,6,studie
Kugelschreiber-Kaffeemaschine,3,2,initial,607,standard,0,6,studie
Kaffeemaschine-Lampe,2,1,initial,290,standard,0,1,studie
Kaffeemaschine-Nadel,6,3,anders,136,standard,6,7,studie
Kaffeemaschine-Nadel,5,3,gleich,564,bonus,5,7,studie
Kaffeemaschine-Nadel,5,3,gleich,290,bonus,4,7,studie
Kaffeemaschine-Nadel,6,3,anders,261,standard,3,7,studie
Kaffeemaschine-Nadel,6,3,anders,710,standard,2,7,studie
Kaffeemaschine-Nadel,4,2,anders,682,standard,1,7,studie
Kaffeemaschine-Nadel,3,2,initial,1028,standard,0,7,studie
Kaffeemaschine-Plastikverpackung,4,2,gleich,146,standard,9,10,studie
Kaffeemaschine-Plastikverpackung,2,1,anders,136,standard,8,10,studie
Kaffeemaschine-Plastikverpackung,6,3,anders,1088,standard,7,10,studie
Kaffeemaschine-Plastikverpackung,4,2,gleich,803,standard,6,10,studie
Kaffeemaschine-Plastikverpackung,3,2,anders,306,standard,5,10,studie
Kaffeemaschine-Plastikverpackung,6,3,anders,738,standard,4,10,studie
Kaffeemaschine-Plastikverpackung,2,1,anders,820,standard,3,10,studie
Kaffeemaschine-Plastikverpackung,6,3,anders,629,standard,2,10,studie
Kaffeemaschine-Plastikverpackung,6,3,anders,578,standard,1,10,studie
Kaffeemaschine-Plastikverpackung,4,2,initial,728,standard,0,10,studie
Kaffeemaschine-Schwamm,5,3,anders,564,bonus,4,5,studie
Kaffeemaschine-Schwamm,5,3,anders,661,standard,3,5,studie
Kaffeemaschine-Schwamm,1,1,gleich,710,standard,2,5,studie
Kaffeemaschine-Schwamm,2,1,anders,153,standard,1,5,studie
Kaffeemaschine-Schwamm,1,1,initial,509,standard,0,5,studie
Kaffeemaschine-Spuelmittel,6,3,initial,682,standard,0,1,studie
Kaffeemaschine-Tasse,3,2,gleich,328,standard,11,12,studie
Kaffeemaschine-Tasse,2,1,anders,256,standard,10,12,studie
Kaffeemaschine-Tasse,1,1,anders,306,standard,9,12,studie
Kaffeemaschine-Tasse,2,1,anders,820,standard,8,12,studie
Kaffeemaschine-Tasse,4,2,gleich,881,standard,7,12,studie
Kaffeemaschine-Tasse,6,3,anders,216,standard,6,12,studie
Kaffeemaschine-Tasse,3,2,gleich,230,standard,5,12,studie
Kaffeemaschine-Tasse,2,1,anders,607,bonus,4,12,studie
Kaffeemaschine-Tasse,6,3,anders,147,standard,3,12,studie
Kaffeemaschine-Tasse,4,2,anders,208,bonus,2,12,studie
Kaffeemaschine-Tasse,1,1,anders,682,standard,1,12,studie
Kaffeemaschine-Tasse,4,2,initial,952,standard,0,12,studie
Tisch-Kaffeemaschine,1,1,anders,256,standard,7,8,studie
Tisch-Kaffeemaschine,3,2,gleich,663,bonus,6,8,studie
Tisch-Kaffeemaschine,6,3,anders,147,standard,5,8,studie
Tisch-Kaffeemaschine,2,1,gleich,402,standard,4,8,studie
Tisch-Kaffeemaschine,3,2,gleich,1028,standard,3,8,studie
Tisch-Kaffeemaschine,4,2,anders,395,standard,2,8,studie
Tisch-Kaffeemaschine,3,2,anders,952,standard,1,8,studie
Tisch-Kaffeemaschine,1,1,initial,712,standard,0,8,studie
Kaffeemaschine-Waescheklammer,6,3,gleich,697,standard,5,6,studie
Kaffeemaschine-Waescheklammer,6,3,anders,1088,standard,4,6,studie
Kaffeemaschine-Waescheklammer,6,3,anders,306,standard,3,6,studie
Kaffeemaschine-Waescheklammer,4,2,anders,532,standard,2,6,studie
Kaffeemaschine-Waescheklammer,4,2,anders,353,standard,1,6,studie
Kaffeemaschine-Waescheklammer,6,3,initial,682,standard,0,6,studie
Weinflasche-Kaffeemaschine,3,2,anders,328,standard,6,7,studie
Weinflasche-Kaffeemaschine,4,2,gleich,416,standard,5,7,studie
Weinflasche-Kaffeemaschine,6,3,anders,465,standard,4,7,studie
Weinflasche-Kaffeemaschine,3,2,anders,588,standard,3,7,studie
Weinflasche-Kaffeemaschine,4,2,gleich,208,bonus,2,7,studie
Weinflasche-Kaffeemaschine,5,3,anders,825,bonus,1,7,studie
Weinflasche-Kaffeemaschine,4,2,initial,154,standard,0,7,studie
Feuerzeug-Kerze,6,3,anders,697,standard,12,13,studie
Feuerzeug-Kerze,2,1,gleich,416,bonus,11,13,studie
Feuerzeug-Kerze,2,1,gleich,749,standard,10,13,studie
Feuerzeug-Kerze,1,1,gleich,865,standard,9,13,studie
Feuerzeug-Kerze,2,1,gleich,404,standard,8,13,studie
Feuerzeug-Kerze,1,1,anders,663,standard,7,13,studie
Feuerzeug-Kerze,1,1,anders,353,standard,6,13,studie
Feuerzeug-Kerze,3,2,anders,383,bonus,5,13,studie
Feuerzeug-Kerze,2,1,gleich,621,standard,4,13,studie
Feuerzeug-Kerze,5,3,anders,306,standard,3,13,studie
Feuerzeug-Kerze,1,1,gleich,1028,bonus,2,13,studie
Feuerzeug-Kerze,1,1,gleich,712,standard,1,13,studie
Feuerzeug-Kerze,1,1,0,0,0,0,13,vorstudie
Kerze-Geschirrtuch,3,2,gleich,107,standard,3,4,studie
Kerze-Geschirrtuch,2,1,gleich,367,bonus,2,4,studie
Kerze-Geschirrtuch,1,1,anders,261,standard,1,4,studie
Kerze-Geschirrtuch,4,2,initial,933,bonus,0,4,studie
Kerze-Glas,1,1,gleich,933,standard,4,5,studie
Kerze-Glas,1,1,gleich,383,bonus,3,5,studie
Kerze-Glas,2,1,anders,726,bonus,2,5,studie
Kerze-Glas,1,1,gleich,1028,bonus,1,5,studie
Kerze-Glas,1,1,initial,154,standard,0,5,studie
Hemd-Kerze,4,2,anders,697,standard,1,2,studie
Hemd-Kerze,2,1,initial,146,standard,0,2,studie
Holzbrett-Kerze,1,1,anders,564,standard,1,2,studie
Holzbrett-Kerze,3,2,initial,1008,bonus,0,2,studie
Kerze-Kabel,2,1,initial,564,standard,0,1,studie
Kopfhoerer-Kerze,4,2,anders,146,bonus,2,3,studie
Kopfhoerer-Kerze,3,2,gleich,306,standard,1,3,studie
Kopfhoerer-Kerze,3,2,initial,560,standard,0,3,studie
Kerze-Lampe,1,1,anders,704,standard,8,9,studie
Kerze-Lampe,2,1,anders,290,standard,7,9,studie
Kerze-Lampe,2,1,anders,107,standard,6,9,studie
Kerze-Lampe,4,2,anders,261,standard,5,9,studie
Kerze-Lampe,4,2,anders,663,standard,4,9,studie
Kerze-Lampe,4,2,anders,933,standard,3,9,studie
Kerze-Lampe,2,1,gleich,230,standard,2,9,studie
Kerze-Lampe,2,1,anders,306,standard,1,9,studie
Kerze-Lampe,3,2,initial,154,standard,0,9,studie
Kerze-Papier,1,1,anders,710,standard,3,4,studie
Kerze-Papier,5,3,gleich,353,standard,2,4,studie
Kerze-Papier,3,2,anders,216,standard,1,4,studie
Kerze-Papier,6,3,initial,518,standard,0,4,studie
Kerze-Plastikverpackung,5,3,anders,146,bonus,3,4,studie
Kerze-Plastikverpackung,6,3,anders,621,standard,2,4,studie
Kerze-Plastikverpackung,2,1,anders,726,bonus,1,4,studie
Kerze-Plastikverpackung,4,2,initial,271,standard,0,4,studie
Kerze-Tasse,6,3,anders,261,standard,3,4,studie
Kerze-Tasse,4,2,gleich,663,standard,2,4,studie
Kerze-Tasse,4,2,gleich,202,bonus,1,4,studie
Kerze-Tasse,4,2,initial,291,standard,0,4,studie
Topfdeckel-Kerze,2,1,anders,416,bonus,3,4,studie
Topfdeckel-Kerze,4,2,gleich,146,bonus,2,4,studie
Topfdeckel-Kerze,3,2,anders,404,standard,1,4,studie
Topfdeckel-Kerze,6,3,initial,726,standard,0,4,studie
Waescheklammer-Kerze,5,3,anders,107,standard,2,3,studie
Waescheklammer-Kerze,3,2,anders,881,standard,1,3,studie
Waescheklammer-Kerze,4,2,initial,682,standard,0,3,studie
Kerze-Waschmaschine,5,3,anders,564,standard,1,2,studie
Kerze-Waschmaschine,3,2,initial,672,bonus,0,2,studie
Kerze-Weinflasche,4,2,anders,256,bonus,4,5,studie
Kerze-Weinflasche,2,1,gleich,306,standard,3,5,studie
Kerze-Weinflasche,2,1,anders,261,standard,2,5,studie
Kerze-Weinflasche,4,2,anders,202,bonus,1,5,studie
Kerze-Weinflasche,2,1,initial,952,standard,0,5,studie
Klebeband-Faden,6,3,initial,1028,standard,0,1,studie
Klebeband-Gemuesemesser,3,2,anders,697,standard,2,3,studie
Klebeband-Gemuesemesser,6,3,anders,306,standard,1,3,studie
Klebeband-Gemuesemesser,4,2,initial,367,standard,0,3,studie
Holzbrett-Klebeband,4,2,gleich,697,standard,3,4,studie
Holzbrett-Klebeband,6,3,anders,820,standard,2,4,studie
Holzbrett-Klebeband,6,3,anders,726,bonus,1,4,studie
Holzbrett-Klebeband,1,1,initial,395,standard,0,4,studie
Klebeband-Kabel,6,3,initial,726,bonus,0,1,studie
Klebeband-Kaffeemaschine,4,2,gleich,672,standard,4,5,studie
Klebeband-Kaffeemaschine,3,2,anders,865,bonus,3,5,studie
Klebeband-Kaffeemaschine,6,3,anders,191,standard,2,5,studie
Klebeband-Kaffeemaschine,5,3,anders,395,standard,1,5,studie
Klebeband-Kaffeemaschine,4,2,initial,1056,standard,0,5,studie
Klebeband-Kerze,2,1,initial,216,standard,0,1,studie
Klebeband-Kochloeffel,3,2,gleich,782,bonus,3,4,studie
Klebeband-Kochloeffel,1,1,anders,865,bonus,2,4,studie
Klebeband-Kochloeffel,4,2,gleich,151,bonus,1,4,studie
Klebeband-Kochloeffel,4,2,initial,216,standard,0,4,studie
Klebeband-Kochtopf,4,2,anders,1008,bonus,3,4,studie
Klebeband-Kochtopf,3,2,gleich,782,bonus,2,4,studie
Klebeband-Kochtopf,3,2,gleich,216,standard,1,4,studie
Klebeband-Kochtopf,3,2,initial,712,standard,0,4,studie
Klebeband-Kopfhoerer,1,1,initial,803,standard,0,1,studie
Klebeband-Korken,2,1,anders,672,standard,3,4,studie
Klebeband-Korken,5,3,anders,306,standard,2,4,studie
Klebeband-Korken,3,2,gleich,304,bonus,1,4,studie
Klebeband-Korken,3,2,initial,164,standard,0,4,studie
Klebeband-Papier,1,1,anders,697,standard,2,3,studie
Klebeband-Papier,6,3,anders,216,standard,1,3,studie
Klebeband-Papier,2,1,initial,143,bonus,0,3,studie
Streichholz-Klebeband,3,2,gleich,820,standard,1,2,studie
Streichholz-Klebeband,3,2,initial,629,standard,0,2,studie
Klebeband-Tisch,4,2,gleich,1008,bonus,6,7,studie
Klebeband-Tisch,4,2,gleich,865,bonus,5,7,studie
Klebeband-Tisch,1,1,anders,306,standard,4,7,studie
Klebeband-Tisch,3,2,anders,402,standard,3,7,studie
Klebeband-Tisch,5,3,gleich,242,bonus,2,7,studie
Klebeband-Tisch,5,3,anders,147,standard,1,7,studie
Klebeband-Tisch,4,2,initial,395,standard,0,7,studie
Klebeband-Waschmaschine,3,2,anders,782,bonus,6,7,studie
Klebeband-Waschmaschine,5,3,anders,367,standard,5,7,studie
Klebeband-Waschmaschine,2,1,anders,629,standard,4,7,studie
Klebeband-Waschmaschine,5,3,anders,643,bonus,3,7,studie
Klebeband-Waschmaschine,4,2,gleich,607,bonus,2,7,studie
Klebeband-Waschmaschine,4,2,gleich,432,standard,1,7,studie
Klebeband-Waschmaschine,4,2,initial,669,standard,0,7,studie
Kochloeffel-Gemuesemesser,1,1,anders,704,standard,7,8,studie
Kochloeffel-Gemuesemesser,3,2,anders,629,standard,6,8,studie
Kochloeffel-Gemuesemesser,3,2,anders,728,standard,5,8,studie
Kochloeffel-Gemuesemesser,2,1,gleich,202,bonus,4,8,studie
Kochloeffel-Gemuesemesser,2,1,gleich,242,standard,3,8,studie
Kochloeffel-Gemuesemesser,2,1,anders,1028,standard,2,8,studie
Kochloeffel-Gemuesemesser,1,1,gleich,952,bonus,1,8,studie
Kochloeffel-Gemuesemesser,1,1,initial,164,standard,0,8,studie
Geschirrtuch-Kochloeffel,3,2,gleich,704,standard,6,7,studie
Geschirrtuch-Kochloeffel,6,3,anders,865,standard,5,7,studie
Geschirrtuch-Kochloeffel,1,1,anders,710,standard,4,7,studie
Geschirrtuch-Kochloeffel,1,1,anders,629,bonus,3,7,studie
Geschirrtuch-Kochloeffel,1,1,anders,728,standard,2,7,studie
Geschirrtuch-Kochloeffel,6,3,anders,588,standard,1,7,studie
Geschirrtuch-Kochloeffel,5,3,initial,208,standard,0,7,studie
Kochloeffel-Hemd,4,2,initial,629,standard,0,1,studie
Holzbrett-Kochloeffel,6,3,anders,782,standard,3,4,studie
Holzbrett-Kochloeffel,5,3,anders,404,standard,2,4,studie
Holzbrett-Kochloeffel,1,1,gleich,191,standard,1,4,studie
Holzbrett-Kochloeffel,1,1,initial,164,standard,0,4,studie
Kabel-Kochloeffel,2,1,anders,256,bonus,2,3,studie
Kabel-Kochloeffel,5,3,anders,391,standard,1,3,studie
Kabel-Kochloeffel,3,2,initial,588,standard,0,3,studie
Kochloeffel-Kaffee,2,1,initial,682,bonus,0,1,studie
Kaffeemaschine-Kochloeffel,2,1,anders,600,standard,2,3,studie
Kaffeemaschine-Kochloeffel,4,2,gleich,353,standard,1,3,studie
Kaffeemaschine-Kochloeffel,4,2,initial,881,standard,0,3,studie
Kochloeffel-Kochtopf,1,1,gleich,1008,standard,12,13,studie
Kochloeffel-Kochtopf,2,1,gleich,782,standard,11,13,studie
Kochloeffel-Kochtopf,1,1,anders,865,standard,10,13,studie
Kochloeffel-Kochtopf,1,1,anders,107,standard,9,13,studie
Kochloeffel-Kochtopf,1,1,anders,404,standard,8,13,studie
Kochloeffel-Kochtopf,4,2,anders,457,standard,7,13,studie
Kochloeffel-Kochtopf,1,1,anders,710,standard,6,13,studie
Kochloeffel-Kochtopf,2,1,gleich,933,standard,5,13,studie
Kochloeffel-Kochtopf,4,2,anders,643,standard,4,13,studie
Kochloeffel-Kochtopf,3,2,anders,242,bonus,3,13,studie
Kochloeffel-Kochtopf,2,1,anders,930,standard,2,13,studie
Kochloeffel-Kochtopf,1,1,gleich,143,standard,1,13,studie
Kochloeffel-Kochtopf,1,1,0,0,0,0,13,vorstudie
Kochloeffel-Papiertaschentuch,4,2,initial,825,bonus,0,1,studie
Schwamm-Kochloeffel,6,3,anders,865,standard,2,3,studie
Schwamm-Kochloeffel,1,1,anders,230,standard,1,3,studie
Schwamm-Kochloeffel,5,3,initial,588,standard,0,3,studie
Seife-Kochloeffel,5,3,anders,652,standard,2,3,studie
Seife-Kochloeffel,4,2,anders,643,standard,1,3,studie
Seife-Kochloeffel,1,1,initial,728,standard,0,3,studie
Kochloeffel-Streichholz,5,3,initial,107,standard,0,1,studie
Teller-Kochloeffel,6,3,anders,782,standard,4,5,studie
Teller-Kochloeffel,6,3,anders,865,standard,3,5,studie
Teller-Kochloeffel,1,1,anders,230,standard,2,5,studie
Teller-Kochloeffel,2,1,anders,728,standard,1,5,studie
Teller-Kochloeffel,4,2,initial,242,bonus,0,5,studie
Kochloeffel-Toilettenpapier,2,1,gleich,416,standard,3,4,studie
Kochloeffel-Toilettenpapier,1,1,anders,136,standard,2,4,studie
Kochloeffel-Toilettenpapier,3,2,gleich,825,bonus,1,4,studie
Kochloeffel-Toilettenpapier,3,2,initial,191,standard,0,4,studie
Topfdeckel-Kochloeffel,3,2,gleich,256,bonus,11,12,studie
Topfdeckel-Kochloeffel,5,3,anders,600,standard,10,12,studie
Topfdeckel-Kochloeffel,3,2,anders,782,bonus,9,12,studie
Topfdeckel-Kochloeffel,1,1,anders,107,standard,8,12,studie
Topfdeckel-Kochloeffel,2,1,gleich,404,standard,7,12,studie
Topfdeckel-Kochloeffel,2,1,gleich,629,standard,6,12,studie
Topfdeckel-Kochloeffel,1,1,anders,391,standard,5,12,studie
Topfdeckel-Kochloeffel,1,1,anders,191,standard,4,12,studie
Topfdeckel-Kochloeffel,1,1,anders,208,standard,3,12,studie
Topfdeckel-Kochloeffel,2,1,anders,682,bonus,2,12,studie
Topfdeckel-Kochloeffel,3,2,anders,164,standard,1,12,studie
Topfdeckel-Kochloeffel,4,2,initial,154,standard,0,12,studie
Waescheklammer-Kochloeffel,1,1,gleich,704,bonus,1,2,studie
Waescheklammer-Kochloeffel,1,1,initial,652,standard,0,2,studie
Waschmaschine-Kochloeffel,3,2,anders,782,bonus,1,2,studie
Waschmaschine-Kochloeffel,6,3,initial,592,standard,0,2,studie
Buegeleisen-Kochtopf,6,3,gleich,865,standard,4,5,studie
Buegeleisen-Kochtopf,5,3,gleich,367,standard,3,5,studie
Buegeleisen-Kochtopf,4,2,anders,230,standard,2,5,studie
Buegeleisen-Kochtopf,6,3,gleich,682,bonus,1,5,studie
Buegeleisen-Kochtopf,6,3,initial,825,standard,0,5,studie
Feuerzeug-Kochtopf,2,1,gleich,801,bonus,4,5,studie
Feuerzeug-Kochtopf,2,1,gleich,710,standard,3,5,studie
Feuerzeug-Kochtopf,3,2,anders,543,standard,2,5,studie
Feuerzeug-Kochtopf,1,1,gleich,682,bonus,1,5,studie
Feuerzeug-Kochtopf,1,1,initial,154,standard,0,5,studie
Gemuesemesser-Kochtopf,3,2,gleich,643,bonus,1,2,studie
Gemuesemesser-Kochtopf,3,2,initial,368,standard,0,2,studie
Kabel-Kochtopf,3,2,anders,416,bonus,1,2,studie
Kabel-Kochtopf,5,3,initial,391,standard,0,2,studie
Kaffee-Kochtopf,4,2,anders,143,standard,1,2,studie
Kaffee-Kochtopf,3,2,initial,712,standard,0,2,studie
Kaffeemaschine-Kochtopf,2,1,anders,932,standard,5,6,studie
Kaffeemaschine-Kochtopf,5,3,anders,845,standard,4,6,studie
Kaffeemaschine-Kochtopf,5,3,anders,629,standard,3,6,studie
Kaffeemaschine-Kochtopf,3,2,gleich,353,bonus,2,6,studie
Kaffeemaschine-Kochtopf,4,2,anders,153,bonus,1,6,studie
Kaffeemaschine-Kochtopf,1,1,initial,509,standard,0,6,studie
Kerze-Kochtopf,5,3,anders,726,standard,1,2,studie
Kerze-Kochtopf,3,2,initial,930,standard,0,2,studie
Korken-Kochtopf,4,2,anders,102,standard,1,2,studie
Korken-Kochtopf,3,2,initial,543,standard,0,2,studie
Kochtopf-Kugelschreiber,5,3,anders,564,standard,5,6,studie
Kochtopf-Kugelschreiber,5,3,anders,629,standard,4,6,studie
Kochtopf-Kugelschreiber,3,2,gleich,480,standard,3,6,studie
Kochtopf-Kugelschreiber,6,3,anders,726,standard,2,6,studie
Kochtopf-Kugelschreiber,3,2,anders,153,bonus,1,6,studie
Kochtopf-Kugelschreiber,2,1,initial,172,standard,0,6,studie
Plastikverpackung-Kochtopf,4,2,anders,643,standard,2,3,studie
Plastikverpackung-Kochtopf,1,1,anders,102,standard,1,3,studie
Plastikverpackung-Kochtopf,3,2,initial,712,bonus,0,3,studie
Kochtopf-Schwamm,4,2,anders,663,standard,6,7,studie
Kochtopf-Schwamm,4,2,anders,933,bonus,5,7,studie
Kochtopf-Schwamm,3,2,anders,383,standard,4,7,studie
Kochtopf-Schwamm,1,1,anders,509,standard,3,7,studie
Kochtopf-Schwamm,4,2,anders,147,bonus,2,7,studie
Kochtopf-Schwamm,1,1,gleich,164,bonus,1,7,studie
Kochtopf-Schwamm,1,1,0,0,0,0,7,vorstudie
Seife-Kochtopf,2,1,gleich,672,standard,5,6,studie
Seife-Kochtopf,4,2,anders,643,standard,4,6,studie
Seife-Kochtopf,1,1,anders,153,bonus,3,6,studie
Seife-Kochtopf,3,2,gleich,147,bonus,2,6,studie
Seife-Kochtopf,2,1,anders,682,bonus,1,6,studie
Seife-Kochtopf,3,2,initial,164,bonus,0,6,studie
Tee-Kochtopf,6,3,anders,256,standard,5,6,studie
Tee-Kochtopf,2,1,gleich,801,standard,4,6,studie
Tee-Kochtopf,4,2,anders,629,standard,3,6,studie
Tee-Kochtopf,2,1,anders,933,bonus,2,6,studie
Tee-Kochtopf,1,1,gleich,164,bonus,1,6,studie
Tee-Kochtopf,1,1,0,0,0,0,6,vorstudie
Waescheklammer-Kochtopf,6,3,anders,999,standard,3,4,studie
Waescheklammer-Kochtopf,2,1,anders,698,standard,2,4,studie
Waescheklammer-Kochtopf,3,2,anders,395,standard,1,4,studie
Waescheklammer-Kochtopf,6,3,initial,712,standard,0,4,studie
Kochtopf-Waschmaschine,4,2,gleich,564,standard,7,8,studie
Kochtopf-Waschmaschine,5,3,anders,845,standard,6,8,studie
Kochtopf-Waschmaschine,3,2,gleich,782,bonus,5,8,studie
Kochtopf-Waschmaschine,4,2,anders,480,standard,4,8,studie
Kochtopf-Waschmaschine,3,2,gleich,543,standard,3,8,studie
Kochtopf-Waschmaschine,2,1,anders,147,bonus,2,8,studie
Kochtopf-Waschmaschine,4,2,anders,682,bonus,1,8,studie
Kochtopf-Waschmaschine,3,2,initial,395,standard,0,8,studie
Weinflasche-Kochtopf,2,1,gleich,256,standard,4,5,studie
Weinflasche-Kochtopf,2,1,gleich,306,standard,3,5,studie
Weinflasche-Kochtopf,1,1,anders,543,standard,2,5,studie
Weinflasche-Kochtopf,5,3,anders,172,standard,1,5,studie
Weinflasche-Kochtopf,2,1,initial,1095,standard,0,5,studie
Kopfhoerer-Buegeleisen,3,2,anders,629,standard,1,2,studie
Kopfhoerer-Buegeleisen,4,2,initial,621,standard,0,2,studie
Kopfhoerer-Feuerzeug,4,2,initial,825,standard,0,1,studie
Kopfhoerer-Geschirrtuch,4,2,anders,564,standard,1,2,studie
Kopfhoerer-Geschirrtuch,2,1,initial,710,bonus,0,2,studie
Glas-Kopfhoerer,4,2,gleich,697,bonus,6,7,studie
Glas-Kopfhoerer,3,2,anders,416,standard,5,7,studie
Glas-Kopfhoerer,6,3,anders,710,bonus,4,7,studie
Glas-Kopfhoerer,3,2,anders,629,standard,3,7,studie
Glas-Kopfhoerer,4,2,gleich,933,standard,2,7,studie
Glas-Kopfhoerer,4,2,gleich,480,standard,1,7,studie
Glas-Kopfhoerer,4,2,initial,143,standard,0,7,studie
Hemd-Kopfhoerer,4,2,gleich,697,bonus,2,3,studie
Hemd-Kopfhoerer,4,2,gleich,652,bonus,1,3,studie
Hemd-Kopfhoerer,4,2,initial,825,standard,0,3,studie
Holzbrett-Kopfhoerer,1,1,gleich,726,bonus,1,2,studie
Holzbrett-Kopfhoerer,1,1,initial,151,standard,0,2,studie
Kabel-Kopfhoerer,2,1,gleich,391,standard,5,6,studie
Kabel-Kopfhoerer,1,1,anders,652,bonus,4,6,studie
Kabel-Kopfhoerer,1,1,anders,726,bonus,3,6,studie
Kabel-Kopfhoerer,5,3,anders,938,bonus,2,6,studie
Kabel-Kopfhoerer,2,1,gleich,191,bonus,1,6,studie
Kabel-Kopfhoerer,2,1,0,0,0,0,6,vorstudie
